Index,Distance
5,"(True, 2452.5368802779462)"
5,"(False, None)"
5,"(True, 931.9816399281623)"
5,"(True, 129.9120608606079)"
5,"(True, 1554.202209316085)"
5,"(True, 2562.0954057442714)"
5,"(True, 268.3165540472057)"
5,"(True, 227.28981513374436)"
5,"(False, None)"
5,"(True, 2505.429555911156)"
5,"(True, 912.2227267597302)"
5,"(True, 2479.410229177482)"
6,"(True, 1367.7402623380372)"
6,"(True, 1835.5692270405052)"
6,"(True, 2480.6896630418187)"
6,"(True, 1094.9066666666668)"
6,"(True, 83.11277488168108)"
6,"(True, 1684.8492100851545)"
6,"(True, 1025.083118172002)"
6,"(True, 2530.6014408110623)"
6,"(True, 1028.6666666666667)"
6,"(True, 4370.657689384397)"
6,"(True, 160.2082)"
6,"(True, 16.478053994456193)"
6,"(True, 4254.544982045145)"
6,"(True, 3331.6209728101717)"
6,"(True, 1139.8214662992818)"
6,"(False, None)"
6,"(True, 2613.48900457887)"
6,"(True, 109.79510493230462)"
6,"(True, 93.54764590497912)"
6,"(True, 111.27756666666669)"
6,"(False, None)"
6,"(True, 95.94220958946975)"
6,"(True, 440.15737487115473)"
6,"(True, 226.31102347474052)"
6,"(True, 459.4362666666667)"
6,"(True, 1015.8203918397762)"
6,"(False, None)"
6,"(True, 1735.1810110073632)"
6,"(True, 504.7290666666666)"
6,"(True, 5386.855199164095)"
6,"(True, 17623.323805111228)"
6,"(True, 129.9120608606079)"
6,"(True, 94.46149468706463)"
6,"(True, 12974.72331666667)"
6,"(True, 1964.7742837416365)"
6,"(True, 2561.2579178910605)"
6,"(True, 94.89559610934602)"
6,"(True, 519.512282064788)"
6,"(True, 1571.8803757784553)"
6,"(True, 2618.6417976944654)"
6,"(True, 264.5861876849273)"
6,"(True, 1177.5042368952484)"
6,"(True, 1054.3056501869228)"
6,"(True, 186.9409476636517)"
6,"(True, 47822.40140073941)"
6,"(True, 2284.6098078854184)"
6,"(True, 2854.49052851928)"
6,"(True, 1495.9324620151554)"
6,"(True, 2723.6229)"
6,"(True, 717.7937512708628)"
6,"(True, 1581.5852043707523)"
6,"(True, 2474.899429086202)"
6,"(False, None)"
6,"(True, 809533.2938363801)"
6,"(True, 754.2090666666667)"
6,"(True, 1064.9125561552912)"
6,"(True, 585.6147666666665)"
6,"(True, 79.61829469739295)"
6,"(True, 3496.907864053103)"
6,"(True, 851.8156228180621)"
6,"(True, 1960.1644108443058)"
6,"(True, 129.9120608606079)"
6,"(True, 650.7914448874318)"
6,"(True, 2398.9908999999993)"
6,"(True, 2570.3477390271514)"
6,"(True, 2385.5882126685974)"
6,"(False, None)"
6,"(True, 77.61748356822382)"
6,"(True, 2583.8048717750153)"
6,"(True, 49330.66130767618)"
6,"(True, 342.9484741511003)"
6,"(True, 1281.0774980879137)"
6,"(True, 2570.7205134365195)"
6,"(True, 2603.1747859266175)"
6,"(True, 694.0272986774612)"
6,"(True, 1847.9975999999995)"
6,"(True, 102.79181560712577)"
6,"(True, 764.7048180237392)"
6,"(True, 2719.3049553547044)"
6,"(True, 13086.60595111157)"
6,"(True, 9897.873244125656)"
6,"(True, 5021.615566666666)"
6,"(True, 4229.335566666667)"
6,"(True, 3678.996297433174)"
6,"(True, 78.04956666666662)"
6,"(True, 26320.509566666668)"
6,"(True, 820.1588119838553)"
6,"(False, None)"
6,"(True, 1394.3793872672793)"
6,"(True, 205.1935511435312)"
6,"(True, 3369.173704919413)"
6,"(True, 2052.1124634946495)"
6,"(True, 162.13099336621434)"
6,"(True, 1274.250406527244)"
6,"(True, 2483.428058991851)"
6,"(True, 2554.3396000000002)"
6,"(True, 3798.8784872390434)"
6,"(True, 2649.7692548022083)"
6,"(True, 8030.457566666667)"
6,"(True, 580.2291666666666)"
7,"(True, 2481.4145400070006)"
7,"(True, 2438.0766592335854)"
7,"(True, 466.4055257806632)"
7,"(True, 2565.6740506464876)"
7,"(True, 694.2055269862225)"
7,"(True, 2482.06775101732)"
7,"(True, 764.5002666666668)"
7,"(True, 94.40502090539648)"
7,"(True, 909.3347518288732)"
7,"(True, 28108.26355965718)"
7,"(True, 296.68739999999997)"
7,"(True, 416.2106001065477)"
7,"(True, 3387.16522559639)"
7,"(True, 2110.4970370883366)"
7,"(True, 2719.452286447585)"
7,"(True, 2566.5)"
7,"(True, 174873.19583620445)"
7,"(True, 173.0414809732332)"
7,"(True, 3492.2567840355273)"
7,"(True, 149.62869453830024)"
7,"(True, 884.96129873538)"
7,"(False, None)"
7,"(True, 325.90273273577725)"
7,"(True, 5115.065666103972)"
7,"(True, 98.52725214471211)"
7,"(True, 16200.579930340968)"
7,"(True, 264.5861876849273)"
7,"(True, 264.5861876849273)"
7,"(True, 827.1473561102321)"
7,"(True, 9144.036437738581)"
7,"(True, 64.36952452758882)"
7,"(True, 147.96783427737213)"
7,"(True, 1017.89987018148)"
7,"(True, 93.02835340749925)"
7,"(True, 16264.50557984914)"
7,"(True, 285.48791030181405)"
7,"(True, 1295.0691666666667)"
7,"(True, 246.78666861076744)"
7,"(True, 642833.1337824857)"
7,"(True, 2807.5674906277272)"
7,"(True, 264.5861876849273)"
7,"(True, 2640.263156541833)"
7,"(True, 1245.4122653190268)"
7,"(True, 17963.46649631055)"
7,"(True, 1038.9627666666665)"
7,"(True, 2563.026975753783)"
7,"(False, None)"
7,"(True, 750.9296256142144)"
7,"(True, 205.1935511435312)"
7,"(True, 687.0851712363481)"
7,"(True, 95.11874115888182)"
7,"(True, 3072.4676633540575)"
7,"(True, 117.1339800271169)"
7,"(True, 1934.8148197133967)"
7,"(True, 5573.150353711709)"
7,"(True, 115.73353868667968)"
7,"(True, 671.7928546263429)"
7,"(True, 7124.445509959259)"
7,"(True, 2189.057011852243)"
7,"(True, 2613.3334754564817)"
7,"(True, 2452.986302925509)"
7,"(True, 110.28520335312865)"
7,"(True, 1131.8168253947604)"
7,"(True, 129.9120608606079)"
7,"(True, 1169.9752027277411)"
7,"(True, 4267.23457823235)"
7,"(True, 13.4602180610786)"
7,"(True, 74.9823835079729)"
7,"(True, 798.7899271146122)"
7,"(True, 3300.778498373741)"
7,"(True, 421.3408092455588)"
7,"(True, 884.7416741291764)"
7,"(True, 2428.3811194818854)"
